id,name,type,description
P1003,王伟,Person,男，1988年生，成都餐厅厨师，擅长川菜
P1004,王伟,Person,男，1992年生，北京快递员，喜欢骑行
P1005,王伟,Person,男，1987年生，上海物业管理员，业余弹吉他
P1006,王伟,Person,男，1995年生，南京医院药剂师，喜欢园艺
P1007,王伟,Person,男，1989年生，重庆建筑工人，喜欢足球
P1008,王伟,Person,男，1993年生，苏州美术馆讲解员，喜欢摄影
P1009,王伟,Person,男，1991年生，天津物流公司司机，喜欢钓鱼
P1010,王伟,Person,男，1994年生，西安幼儿园老师，喜欢插花
P1011,李娜,Person,女，1992年生，武汉大学毕业，现任深圳UI设计师
P1012,李娜,Person,女，1988年生，上海嘉定区机械工程师，喜欢骑行
P1013,李娜,Person,女，1995年生，广州小学教师，擅长钢琴
P1014,李娜,Person,女，1990年生，泉州服装厂质检员，喜欢羽毛球
P1015,李娜,Person,女，1993年生，成都软件测试工程师，热衷美食
P1016,李娜,Person,女，1985年生，重庆建筑设计师，已婚育有一女
P1017,李娜,Person,女，1997年生，南京新媒体运营，爱好摄影
P1018,李娜,Person,女，1991年生，天津物流公司司机，喜欢钓鱼
P1019,李娜,Person,女，1989年生，台北银行职员，繁體字姓名，喜歡烘焙
P1020,李娜,Person,女，1994年生，苏州电子厂技术员，业余学习日语
P1021,张敏,Person,女，1996年生，西安幼儿园老师，喜欢插花和瑜伽
P1022,张敏,Person,女，1992年生，哈尔滨消防员，热爱健身与滑雪
P1023,张敏,Person,女，1993年生，长沙医院护士，喜欢手工编织
P1024,张敏,Person,女，1987年生，厦门水产养殖场主管，喜欢海钓
P1025,张敏,Person,女，1991年生，郑州会计师，业余弹古筝
P1026,张敏,Person,女，1986年生，合肥汽车维修技师，喜欢足球
P1027,张敏,Person,女，1995年生，上海咖啡馆店员，热爱烘焙
P1028,张敏,Person,女，1990年生，深圳快递员，喜欢骑行
P1029,张敏,Person,女，1994年生，香港中学英语教师，繁體字姓名，喜歡旅遊
P1030,张敏,Person,女，1988年生，广州超市采购员，喜欢摄影
P1031,刘洋,Person,男，1997年生，成都宠物美容师，喜欢养猫
P1032,刘洋,Person,男，1993年生，南京地铁司机，业余写诗
P1033,刘洋,Person,男，1992年生，武汉图书管理员，喜欢古典文学
P1034,刘洋,Person,男，1989年生，福州电力工程师，喜欢游泳
P1035,刘洋,Person,男，1995年生，重庆健身教练，热爱跑步
P1036,刘洋,Person,男，1991年生，上海外贸业务员，喜欢学英语
P1037,刘洋,Person,男，1988年生，台中医院药剂师，繁體字姓名，喜歡園藝
P1038,刘洋,Person,男，1990年生，天津物业管理员，喜欢书法
P1039,刘洋,Person,男，1993年生，深圳幼教，喜欢画画
P1040,刘洋,Person,男，1996年生，苏州美术馆讲解员，喜欢摄影
P1041,陈磊,Person,男，1985年生，广州地铁司机，喜欢摄影
P1042,陈磊,Person,男，1990年生，深圳软件工程师，热爱编程与篮球
P1043,陈磊,Person,男，1988年生，成都餐厅厨师，擅长川菜
P1044,陈磊,Person,男，1992年生，北京快递员，喜欢骑行
P1045,陈磊,Person,男，1987年生，上海物业管理员，业余弹吉他
P1046,陈磊,Person,男，1995年生，南京医院药剂师，喜欢园艺
P1047,陈磊,Person,男，1989年生，重庆建筑工人，喜欢足球
P1048,陈磊,Person,男，1993年生，苏州美术馆讲解员，喜欢摄影
P1049,陈磊,Person,男，1991年生，天津物流公司司机，喜欢钓鱼
P1050,陈磊,Person,男，1994年生，西安幼儿园老师，喜欢插花
